Driver_ID,total_assigned_requests,total_completed_trips,Assignment_to_completion_ratio,Average_Ride_Distance,Average_Rating,Average_Undiscounted_Fare,Average_Ride_Duration,Total_Trip
5165267,142,63,0.44,4434,4,100,947,247
5339129,231,29,0.13,4433,4,100,947,208
5200975,106,29,0.27,4433,4,100,947,8
4856723,164,29,0.18,4433,4,100,947,194
5250030,425,23,0.05,4431,4,100,947,117
2894871,131,37,0.28,4434,4,100,948,169
5205524,109,50,0.46,4431,4,100,948,169
5026015,287,27,0.09,4444,4,100,950,251
5026118,272,29,0.11,4447,4,100,951,194
5265138,296,69,0.23,4448,4,100,951,296
5285826,295,19,0.06,4446,4,100,951,54
5114627,182,67,0.37,4457,4,101,952,279
3243415,385,24,0.06,4450,4,100,951,135
4705535,610,29,0.05,4446,4,100,951,81
5277578,108,7,0.06,4444,4,100,951,19
5210868,87,62,0.71,4451,4,100,953,267
4111955,160,2,0.01,4450,4,100,953,2
4323329,85,44,0.52,4450,4,100,953,74
4019859,34,2,0.06,4450,4,100,953,48
4920430,124,38,0.31,4452,4,100,954,127
5052981,193,97,0.5,4454,4,100,954,404
5270894,146,20,0.14,4453,4,100,953,48
5114957,89,16,0.18,4457,4,100,954,228
5317096,109,48,0.44,4455,4,100,954,146
4824444,173,19,0.11,4451,4,100,954,77
5348716,153,46,0.3,4453,4,100,954,119
5219909,86,24,0.28,4451,4,100,955,24
5204436,64,28,0.44,4454,4,100,956,260
2937666,178,37,0.21,4453,4,100,955,215
5217691,183,80,0.44,4461,4,101,956,252
5197278,37,8,0.22,4458,4,100,956,74
4291437,355,11,0.03,4458,4,100,956,47
5011402,147,16,0.11,4457,4,100,956,131
5264597,147,39,0.27,4445,4,100,952,177
4212117,219,19,0.09,4444,4,100,952,59
4759527,155,85,0.55,4443,4,100,951,171
5226907,87,23,0.26,4443,4,100,951,79
4723107,60,28,0.47,4438,4,100,951,64
2922157,26,3,0.12,4438,4,100,951,23
5032504,166,43,0.26,4437,4,100,946,166
5329133,41,6,0.15,4436,4,100,946,90
5357817,63,30,0.48,4439,4,100,946,90
5265992,46,2,0.04,4438,4,100,946,4
5034028,77,8,0.1,4441,4,100,947,15
5361875,175,8,0.05,4439,4,100,947,23
4965822,135,35,0.26,4445,4,100,948,251
3132746,20,3,0.15,4445,4,100,948,12
5256251,75,7,0.09,4444,4,100,948,33
4322991,131,55,0.42,4448,4,100,949,286
5139500,107,33,0.31,4446,4,100,948,83
5340237,219,12,0.05,4443,4,100,948,67
5071047,86,17,0.2,4442,4,100,948,137
5197330,207,48,0.23,4448,4,100,950,253
3527160,144,54,0.38,4433,4,100,947,229
5060587,219,42,0.19,4431,4,100,947,156
4195199,93,39,0.42,4429,4,100,947,145
5017506,157,63,0.4,4432,4,100,947,347
5218774,109,12,0.11,4431,4,100,947,28
5242099,9,0,0.0,4431,4,100,947,1
5323904,128,59,0.46,4430,4,100,947,226
5361234,44,23,0.52,4424,4,100,947,58
4980010,101,32,0.32,4418,4,100,946,95
4691104,179,87,0.49,4425,4,100,947,436
4965828,23,1,0.04,4426,4,100,947,8
2926142,144,46,0.32,4424,4,100,947,195
5069161,39,8,0.21,4424,4,100,947,54
5280558,118,58,0.49,4422,4,100,946,192
5170700,163,21,0.13,4423,4,100,946,141
5361023,233,82,0.35,4417,4,100,945,220
5251626,24,13,0.54,4418,4,100,945,75
4493566,52,6,0.12,4417,4,100,945,43
4964684,171,35,0.2,4423,4,100,947,170
5122168,163,22,0.13,4422,4,100,947,110
3252143,203,3,0.01,4421,4,100,947,12
4881514,64,16,0.25,4421,4,100,947,34
3832175,112,31,0.28,4421,4,100,947,134
5250079,173,33,0.19,4419,4,100,946,172
5025622,133,42,0.32,4424,4,100,948,208
5224595,98,12,0.12,4423,4,100,948,64
5318423,87,30,0.34,4419,4,100,947,113
5334090,41,1,0.02,4419,4,100,947,3
5327808,241,51,0.21,4423,4,100,948,131
4156948,20,7,0.35,4423,4,100,948,224
5252585,185,38,0.21,4420,4,100,947,73
5249560,259,43,0.17,4421,4,100,948,274
5309384,357,14,0.04,4420,4,100,947,56
5289364,475,91,0.19,4431,4,100,947,351
5302455,137,14,0.1,4434,4,100,948,95
4854712,188,30,0.16,4430,4,100,947,66
5206133,66,25,0.38,4428,4,100,948,135
5361031,101,25,0.25,4425,4,100,947,51
3707646,222,90,0.41,4428,4,100,948,275
3954133,148,54,0.36,4430,4,100,947,167
4414940,133,17,0.13,4427,4,100,947,83
5226534,203,16,0.08,4423,4,100,946,135
5310359,64,37,0.58,4424,4,100,946,94
4611227,105,27,0.26,4426,4,100,947,68
5255932,224,39,0.17,4427,4,100,948,167
4980869,247,56,0.23,4434,4,100,949,310
4673799,325,57,0.18,4433,4,100,950,313
5164805,101,35,0.35,4434,4,100,950,140
4424145,358,83,0.23,4440,4,100,951,292
5359727,23,12,0.52,4440,4,100,952,16
5289561,361,71,0.2,4434,4,100,951,276
5302183,474,62,0.13,4430,4,100,950,316
3203592,91,3,0.03,4430,4,100,950,5
5354553,116,54,0.47,4431,4,100,951,123
5295742,96,4,0.04,4432,4,100,951,31
4845237,6,1,0.17,4431,4,100,951,1
5333945,250,33,0.13,4432,4,100,951,165
5364223,142,12,0.08,4432,4,100,951,43
4416220,119,28,0.24,4429,4,100,950,119
3353278,91,2,0.02,4429,4,100,950,10
5217312,89,19,0.21,4428,4,100,950,170
4024081,625,25,0.04,4424,4,100,950,98
5226849,56,18,0.32,4419,4,100,949,79
5054538,93,19,0.2,4421,4,100,949,144
5249965,65,5,0.08,4421,4,100,950,27
5084423,146,14,0.1,4421,4,100,950,97
5354133,127,31,0.24,4423,4,100,951,124
5104140,90,5,0.06,4422,4,100,951,52
5341186,45,4,0.09,4422,4,100,951,28
5159744,308,72,0.23,4421,4,100,951,331
5069653,88,23,0.26,4423,4,100,952,121
4970994,236,70,0.3,4419,4,100,951,180
3620819,67,23,0.34,4418,4,100,951,46
4881523,264,19,0.07,4418,4,100,952,125
3401681,191,13,0.07,4418,4,100,952,55
5176672,25,1,0.04,4418,4,100,952,1
5289574,181,16,0.09,4419,4,100,952,54
5276173,232,29,0.12,4420,4,100,952,167
5295219,98,15,0.15,4424,4,100,953,49
5130068,175,28,0.16,4424,4,100,953,251
4207288,232,0,0.0,4424,4,100,953,251
5058736,293,46,0.16,4423,4,100,953,182
2940838,125,37,0.3,4422,4,100,953,89
5210850,41,14,0.34,4421,4,100,953,42
5275594,221,74,0.33,4422,4,100,953,228
4525331,128,67,0.52,4425,4,100,954,349
4678744,69,15,0.22,4427,4,100,955,15
5381846,85,24,0.28,4426,4,100,955,66
4986157,42,8,0.19,4425,4,100,954,96
4487064,168,46,0.27,4427,4,100,955,286
4716125,97,13,0.13,4426,4,100,955,27
5374110,318,29,0.09,4426,4,100,956,40
4626859,4,1,0.25,4426,4,100,956,1
3060896,213,50,0.23,4427,4,100,956,171
3644399,49,0,0.0,4427,4,100,956,171
5304149,100,49,0.49,4430,4,100,957,338
4532374,82,27,0.33,4432,4,100,957,133
4420518,43,4,0.09,4432,4,100,957,20
5170666,138,23,0.17,4434,4,100,957,92
5230208,96,6,0.06,4433,4,100,957,30
5255389,120,37,0.31,4434,4,100,957,154
4740161,162,7,0.04,4434,4,100,957,33
4894110,39,6,0.15,4433,4,100,957,20
4753413,34,25,0.74,4432,4,100,956,88
5206216,101,40,0.4,4432,4,100,957,110
5195083,100,4,0.04,4432,4,100,957,48
5107074,179,26,0.15,4434,4,100,958,122
5364132,96,20,0.21,4437,4,100,959,76
5165907,275,5,0.02,4437,4,100,959,17
4915570,13,5,0.38,4437,4,100,959,17
5383463,287,61,0.21,4440,4,100,960,202
4649420,101,39,0.39,4438,4,100,959,69
4465138,284,13,0.05,4437,4,100,959,67
3475712,301,48,0.16,4437,4,100,959,200
4728671,111,41,0.37,4439,4,100,958,120
5029226,151,36,0.24,4440,4,100,959,155
3609933,162,8,0.05,4440,4,100,959,26
5137945,138,42,0.3,4445,4,100,960,197
5249464,189,48,0.25,4440,4,100,959,132
4624228,185,7,0.04,4442,4,100,960,36
2913912,159,15,0.09,4442,4,100,960,75
5374141,191,83,0.43,4443,4,100,961,251
5295088,13,83,6.38,4443,4,100,962,251
5313093,57,39,0.68,4446,4,100,962,211
5165566,72,17,0.24,4445,4,100,962,117
3681569,158,26,0.16,4445,4,100,962,95
4579638,205,10,0.05,4444,4,100,962,52
4984851,69,35,0.51,4444,4,100,961,193
4712745,54,3,0.06,4444,4,100,962,5
5130497,101,0,0.0,4444,4,100,962,6
5122519,211,9,0.04,4444,4,100,962,58
4798667,114,38,0.33,4446,4,100,962,150
5324300,123,8,0.07,4445,4,100,962,14
4493375,79,14,0.18,4446,4,100,962,55
3646812,234,37,0.16,4444,4,100,962,163
4826928,141,40,0.28,4446,4,100,962,118
3145120,58,6,0.1,4445,4,100,962,47
5139894,174,49,0.28,4448,4,100,962,230
5291911,51,23,0.45,4450,4,100,962,83
5368290,92,21,0.23,4450,4,100,962,39
5251522,7,0,0.0,4450,4,100,962,39
4959687,122,72,0.59,4450,4,100,962,304
5362332,493,40,0.08,4447,4,100,961,175
4592166,195,68,0.35,4450,4,100,961,314
3668460,53,10,0.19,4450,4,100,961,76
4650483,183,119,0.65,4450,4,100,961,440
4633592,210,51,0.24,4451,4,100,961,225
5263080,24,9,0.38,4450,4,100,961,28
4254553,299,99,0.33,4451,4,100,961,241
4510572,72,23,0.32,4451,4,100,961,200
4360090,200,42,0.21,4452,4,100,960,150
5265446,218,10,0.05,4453,4,100,960,51
5174479,19,7,0.37,4453,4,100,961,129
4921056,379,46,0.12,4457,4,101,961,303
4052610,162,31,0.19,4456,4,100,961,172
4825053,36,30,0.83,4457,4,101,961,77
5265493,40,29,0.72,4456,4,101,961,271
5339230,95,30,0.32,4457,4,101,961,123
4259559,319,32,0.1,4455,4,101,960,130
5205270,58,12,0.21,4455,4,101,960,39
3946994,67,30,0.45,4455,4,101,960,147
3143007,214,93,0.43,4459,4,101,960,263
5125852,51,15,0.29,4458,4,101,959,19
4215795,84,59,0.7,4462,4,101,960,247
4414917,15,11,0.73,4461,4,101,960,70
5352906,525,40,0.08,4463,4,101,960,353
4358221,24,7,0.29,4462,4,101,960,15
4736223,13,0,0.0,4462,4,101,960,19
4186809,349,37,0.11,4459,4,101,958,123
3936119,378,101,0.27,4463,4,101,959,250
5311075,653,42,0.06,4453,4,101,957,147
5257861,51,29,0.57,4452,4,101,957,85
4868253,250,39,0.16,4458,4,101,958,128
5272555,75,21,0.28,4455,4,101,958,62
5244851,292,2,0.01,4454,4,101,958,5
5066368,152,18,0.12,4452,4,101,958,35
5008987,7,5,0.71,4452,4,101,958,5
5332342,9,3,0.33,4452,4,101,958,42
3367068,243,1,0.0,4452,4,101,958,1
5006017,31,9,0.29,4452,4,101,958,121
5326464,122,60,0.49,4452,4,101,957,274
4572797,27,6,0.22,4452,4,101,957,63
5355121,81,29,0.36,4452,4,101,957,74
4637864,45,18,0.4,4452,4,101,957,42
4936533,150,34,0.23,4452,4,101,957,68
4921112,171,57,0.33,4454,4,101,958,183
4745683,162,5,0.03,4454,4,101,958,12
5074355,52,6,0.12,4454,4,101,958,65
3612345,102,19,0.19,4456,4,101,959,90
4825983,186,41,0.22,4457,4,101,959,136
5333002,276,30,0.11,4455,4,101,958,71
4472358,170,89,0.52,4458,4,101,958,316
2926170,224,33,0.15,4459,4,101,959,133
4942239,275,4,0.01,4459,4,101,959,25
5358553,190,70,0.37,4459,4,101,959,282
5289626,23,1,0.04,4459,4,101,959,15
5340520,91,37,0.41,4459,4,101,959,47
4516334,60,6,0.1,4459,4,101,959,37
5373555,25,14,0.56,4460,4,101,959,68
5319635,228,44,0.19,4459,4,101,959,77
5165758,76,15,0.2,4460,4,101,959,21
3978052,116,6,0.05,4460,4,101,959,31
4028165,308,13,0.04,4460,4,101,959,75
5374235,122,20,0.16,4463,4,101,960,110
4679813,168,1,0.01,4463,4,101,960,11
5062239,30,14,0.47,4464,4,101,960,89
4606067,15,10,0.67,4463,4,101,960,120
4314261,164,27,0.16,4464,4,101,960,129
5316186,159,11,0.07,4464,4,101,960,42
5051117,195,35,0.18,4462,4,101,960,179
5245536,158,32,0.2,4461,4,101,960,132
5122572,63,23,0.37,4461,4,101,960,90
4912442,86,11,0.13,4460,4,101,960,26
4984302,18,12,0.67,4461,4,101,960,164
5170169,200,51,0.26,4463,4,101,961,217
4964794,89,26,0.29,4458,4,101,960,124
5266272,69,36,0.52,4458,4,101,960,148
5361511,284,106,0.37,4450,4,100,958,446
4597921,19,1,0.05,4450,4,100,958,1
3946079,142,33,0.23,4449,4,100,958,137
5264040,304,23,0.08,4449,4,100,959,150
5357726,214,48,0.22,4450,4,100,959,177
5122730,256,6,0.02,4450,4,100,959,17
4958007,132,25,0.19,4451,4,100,959,99
5372865,382,38,0.1,4448,4,100,959,60
4734526,111,65,0.59,4450,4,100,959,328
5397221,76,22,0.29,4451,4,100,960,53
5248798,33,2,0.06,4451,4,100,960,4
5026569,194,116,0.6,4453,4,100,960,497
5188420,34,20,0.59,4453,4,100,960,105
5248382,100,13,0.13,4455,4,101,961,62
4724552,107,56,0.52,4453,4,100,961,228
5361523,116,42,0.36,4454,4,100,961,234
4751636,245,43,0.18,4452,4,100,961,97
3435189,227,33,0.15,4454,4,100,961,146
4059435,137,28,0.2,4456,4,101,962,248
5366284,70,5,0.07,4457,4,101,962,10
4541864,120,2,0.02,4456,4,101,962,14
4869098,56,9,0.16,4456,4,101,961,82
5318396,55,12,0.22,4457,4,101,962,114
4233487,15,0,0.0,4457,4,101,962,2
4236070,107,30,0.28,4456,4,101,962,75
5317465,183,39,0.21,4457,4,101,962,173
5395841,8,4,0.5,4457,4,101,962,92
5374170,129,40,0.31,4458,4,101,963,86
5173784,70,13,0.19,4457,4,101,963,60
5066380,125,4,0.03,4457,4,101,963,23
5295810,62,25,0.4,4454,4,100,962,41
5255916,45,11,0.24,4454,4,100,962,70
5145138,148,53,0.36,4453,4,100,962,296
5069166,79,11,0.14,4453,4,100,962,60
5356159,141,12,0.09,4453,4,100,962,17
5324858,32,12,0.38,4452,4,100,962,78
5005684,242,51,0.21,4452,4,100,961,307
4834241,265,110,0.42,4456,4,100,962,494
3891358,36,1,0.03,4456,4,100,962,23
5395399,489,43,0.09,4456,4,100,962,134
4571445,59,23,0.39,4454,4,100,961,35
5286057,127,49,0.39,4454,4,100,961,81
4794380,1,0,0.0,4454,4,100,961,81
4673275,76,24,0.32,4453,4,100,961,189
5250178,100,37,0.37,4456,4,100,962,202
5204223,133,30,0.23,4457,4,100,962,118
5174762,74,19,0.26,4458,4,101,963,166
4631445,28,8,0.29,4458,4,101,963,103
4705148,111,5,0.05,4458,4,101,963,51
5017051,124,57,0.46,4456,4,100,962,226
4914425,20,9,0.45,4456,4,100,962,18
4770413,72,8,0.11,4457,4,100,962,85
5318399,198,14,0.07,4456,4,100,962,91
5295836,126,17,0.13,4456,4,100,962,31
5003092,126,39,0.31,4455,4,100,962,108
3762149,180,33,0.18,4452,4,100,963,148
5325641,55,23,0.42,4452,4,100,963,189
2894948,358,33,0.09,4454,4,100,963,57
3399291,95,3,0.03,4453,4,100,963,3
5296824,97,20,0.21,4454,4,100,963,25
5395014,117,31,0.26,4451,4,100,962,213
4252461,30,0,0.0,4451,4,100,962,4
4376421,203,102,0.5,4451,4,100,962,477
5323965,90,21,0.23,4452,4,100,962,67
4715881,118,43,0.36,4454,4,100,962,200
5304780,67,12,0.18,4454,4,100,962,21
5261768,108,67,0.62,4457,4,100,963,364
5286793,12,2,0.17,4457,4,101,963,10
5310952,116,29,0.25,4459,4,101,963,283
5354650,163,39,0.24,4459,4,101,963,143
4971773,229,71,0.31,4457,4,100,963,283
3918236,4,71,17.75,4455,4,100,963,283
3589235,82,15,0.18,4456,4,100,963,78
5368029,85,27,0.32,4457,4,100,963,120
5107614,170,30,0.18,4458,4,101,963,155
5404114,2,0,0.0,4458,4,101,963,155
4737985,53,8,0.15,4458,4,101,963,40
5302142,69,22,0.32,4458,4,101,963,111
5401593,64,36,0.56,4457,4,100,963,95
5374817,76,27,0.36,4456,4,100,963,40
5228379,110,58,0.53,4457,4,101,963,106
5368278,190,108,0.57,4453,4,100,963,287
4625503,104,15,0.14,4454,4,100,963,136
5228217,193,27,0.14,4450,4,100,962,99
5361534,108,28,0.26,4452,4,100,962,66
4720242,79,15,0.19,4451,4,100,962,51
5157604,274,88,0.32,4451,4,100,961,494
3695674,228,97,0.43,4452,4,100,962,253
3821690,232,12,0.05,4452,4,100,962,15
3439844,55,1,0.02,4452,4,100,962,1
5262474,156,57,0.37,4453,4,100,963,139
3941874,70,10,0.14,4452,4,100,963,41
4029834,57,9,0.16,4451,4,100,962,54
4893233,85,38,0.45,4448,4,100,962,183
5332163,272,25,0.09,4445,4,100,961,40
3678744,182,46,0.25,4447,4,100,961,186
5054236,52,0,0.0,4447,4,100,961,14
5248853,33,23,0.7,4447,4,100,962,66
5311808,158,63,0.4,4446,4,100,961,151
5297427,16,14,0.88,4445,4,100,961,50
5189448,314,68,0.22,4447,4,100,962,227
4691717,120,16,0.13,4447,4,100,962,74
5180196,6,4,0.67,4447,4,100,962,4
3864586,220,10,0.05,4446,4,100,962,18
5004248,87,29,0.33,4445,4,100,962,140
5228266,197,36,0.18,4441,4,100,960,190
5121722,43,22,0.51,4442,4,100,961,171
4319875,33,3,0.09,4441,4,100,961,3
5271687,133,49,0.37,4441,4,100,961,228
2936464,58,3,0.05,4441,4,100,961,9
4735617,131,50,0.38,4443,4,100,961,238
5319829,130,29,0.22,4444,4,100,961,127
5004823,77,31,0.4,4445,4,100,961,94
5289067,50,16,0.32,4444,4,100,961,120
4778920,52,5,0.1,4444,4,100,961,22
5341175,232,51,0.22,4445,4,100,961,210
5105116,58,21,0.36,4446,4,100,961,60
5017599,188,110,0.59,4445,4,100,961,354
5110612,147,27,0.18,4445,4,100,961,92
5296171,12,5,0.42,4445,4,100,961,31
5105178,277,44,0.16,4444,4,100,961,158
5326516,112,25,0.22,4443,4,100,960,92
4749557,70,18,0.26,4444,4,100,960,126
4541189,36,8,0.22,4445,4,100,960,25
4531818,69,28,0.41,4444,4,100,960,147
4305170,86,12,0.14,4443,4,100,960,38
3243390,336,38,0.11,4441,4,100,960,163
5255956,53,16,0.3,4441,4,100,960,78
5395190,164,47,0.29,4444,4,100,961,158
4445887,65,5,0.08,4445,4,100,961,23
5206116,39,11,0.28,4445,4,100,961,27
5306125,132,33,0.25,4443,4,100,960,106
4699129,53,5,0.09,4443,4,100,960,5
3936971,211,8,0.04,4443,4,100,960,28
4398856,26,9,0.35,4443,4,100,960,55
4912988,69,20,0.29,4443,4,100,960,57
5250341,141,99,0.7,4442,4,100,960,363
4868471,123,68,0.55,4443,4,100,961,196
5255562,65,40,0.62,4445,4,100,962,186
5005686,65,5,0.08,4445,4,100,961,27
5106509,192,69,0.36,4443,4,100,961,243
5319842,176,24,0.14,4444,4,100,962,84
5108422,18,6,0.33,4444,4,100,962,32
5168368,30,9,0.3,4444,4,100,962,92
5158083,167,13,0.08,4442,4,100,961,27
3960338,11,1,0.09,4442,4,100,961,2
4472618,288,2,0.01,4442,4,100,961,3
4517057,167,45,0.27,4443,4,100,962,158
4364336,129,42,0.33,4442,4,100,962,146
4747985,82,24,0.29,4442,4,100,962,104
5396999,223,40,0.18,4443,4,100,962,93
5389047,132,49,0.37,4441,4,100,961,49
3996797,22,9,0.41,4441,4,100,961,89
4970770,202,41,0.2,4443,4,100,963,178
5319312,26,11,0.42,4443,4,100,963,27
5160367,51,14,0.27,4443,4,100,963,110
3896826,206,42,0.2,4441,4,100,963,150
5106546,105,64,0.61,4442,4,100,963,227
5272393,85,10,0.12,4442,4,100,963,35
5397186,182,57,0.31,4441,4,100,962,197
4236063,68,39,0.57,4441,4,100,962,190
4347031,380,30,0.08,4439,4,100,961,117
5331692,159,28,0.18,4439,4,100,961,82
4606374,143,42,0.29,4440,4,100,961,160
4102596,9,1,0.11,4440,4,100,961,56
4894087,47,28,0.6,4441,4,100,962,118
4626980,174,69,0.4,4440,4,100,961,239
4443257,36,13,0.36,4440,4,100,961,61
3850962,114,47,0.41,4440,4,100,961,236
4751686,200,63,0.32,4440,4,100,961,208
5286474,4,63,15.75,4440,4,100,961,3
4740322,130,26,0.2,4439,4,100,961,59
5154441,141,32,0.23,4440,4,100,961,102
5257385,89,28,0.31,4439,4,100,961,84
5404301,91,21,0.23,4439,4,100,961,89
3474657,71,6,0.08,4438,4,100,960,14
4226144,27,16,0.59,4439,4,100,960,110
4911391,343,72,0.21,4437,4,100,960,342
4186299,38,10,0.26,4437,4,100,960,50
5404192,227,23,0.1,4438,4,100,961,25
4435017,423,32,0.08,4437,4,100,960,86
4703938,88,33,0.38,4438,4,100,961,95
5352096,132,33,0.25,4439,4,100,960,54
5396318,101,26,0.26,4439,4,100,960,64
4959785,79,24,0.3,4439,4,100,960,84
4826866,51,12,0.24,4440,4,100,960,42
5210834,312,41,0.13,4439,4,100,960,203
5169920,106,51,0.48,4439,4,100,960,245
5179599,100,45,0.45,4441,4,100,960,111
4608464,126,61,0.48,4438,4,100,960,180
4970750,149,69,0.46,4438,4,100,960,334
4557650,53,23,0.43,4438,4,100,960,113
3876668,419,47,0.11,4435,4,100,960,97
4599095,16,4,0.25,4436,4,100,960,11
5217382,31,7,0.23,4436,4,100,959,65
2940519,264,36,0.14,4435,4,100,959,166
5388919,138,43,0.31,4435,4,100,959,157
5327495,89,50,0.56,4436,4,100,959,219
4197119,2,50,25.0,4437,4,100,960,1
5071292,93,1,0.01,4437,4,100,960,2
3433573,69,20,0.29,4437,4,100,960,122
5179341,74,3,0.04,4436,4,100,960,28
5354572,311,21,0.07,4437,4,100,960,73
4464332,196,73,0.37,4439,4,100,961,382
5347552,48,21,0.44,4441,4,100,961,86
4540166,123,41,0.33,4441,4,100,961,171
